Product code,Bureau of Meteorology station number,Date,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86232,17/1/2014,0.2,1,Y
IDCJAC0009,86232,18/1/2014,0.2,1,Y
IDCJAC0009,86232,19/1/2014,0,,Y
IDCJAC0009,86232,20/1/2014,0,,Y
IDCJAC0009,86232,21/1/2014,0,,Y
IDCJAC0009,86232,22/1/2014,0,,Y
IDCJAC0009,86232,23/1/2014,0,,Y
IDCJAC0009,86232,24/1/2014,0.8,1,Y
IDCJAC0009,86232,25/1/2014,5.6,1,Y
IDCJAC0009,86232,26/1/2014,0,,Y
IDCJAC0009,86232,27/1/2014,0,,Y
IDCJAC0009,86232,28/1/2014,0,,Y
IDCJAC0009,86232,29/1/2014,0,,Y
IDCJAC0009,86232,30/1/2014,0,,Y
IDCJAC0009,86232,31/1/2014,0,,Y
IDCJAC0009,86232,1/2/2014,0,,Y
IDCJAC0009,86232,2/2/2014,0,,Y
IDCJAC0009,86232,3/2/2014,0,,Y
IDCJAC0009,86232,4/2/2014,0.4,1,Y
IDCJAC0009,86232,5/2/2014,0,,Y
IDCJAC0009,86232,6/2/2014,0,,Y
IDCJAC0009,86232,7/2/2014,0,,Y
IDCJAC0009,86232,8/2/2014,0,,Y
IDCJAC0009,86232,9/2/2014,0,,Y
IDCJAC0009,86232,10/2/2014,0,,Y
IDCJAC0009,86232,11/2/2014,0,,Y
IDCJAC0009,86232,12/2/2014,0,,Y
IDCJAC0009,86232,13/2/2014,0,,Y
IDCJAC0009,86232,14/2/2014,0,,Y
IDCJAC0009,86232,15/2/2014,0,,Y
IDCJAC0009,86232,16/2/2014,4.2,1,Y
IDCJAC0009,86232,17/2/2014,4.8,1,Y
IDCJAC0009,86232,18/2/2014,0,,Y
IDCJAC0009,86232,19/2/2014,0,,Y
IDCJAC0009,86232,20/2/2014,12.6,1,Y
IDCJAC0009,86232,21/2/2014,0,,Y
IDCJAC0009,86232,22/2/2014,1.2,1,Y
IDCJAC0009,86232,23/2/2014,0,,Y
IDCJAC0009,86232,24/2/2014,0,,Y
IDCJAC0009,86232,25/2/2014,0,,Y
IDCJAC0009,86232,26/2/2014,0,,Y
IDCJAC0009,86232,27/2/2014,0.8,1,Y
IDCJAC0009,86232,28/2/2014,0,,Y
IDCJAC0009,86232,1/3/2014,0,,Y
IDCJAC0009,86232,2/3/2014,0,,Y
IDCJAC0009,86232,3/3/2014,0,,Y
IDCJAC0009,86232,4/3/2014,0,,Y
IDCJAC0009,86232,5/3/2014,0,,Y
